geneID,Severo
ANKRD30B,4.517413962579e-05
ANKRD31,1.03554946710864e-05
ANKRD33B,8.59631807099365e-05
ANKRD34A,5.70388408631716e-05
ANKRD35,6.77516160414587e-05
ANKRD36,0.000105565826889
ANKRD36B,0.0001371330045365
ANKRD36C,2.23455486053789e-05
ANKRD37,4.72547068288906e-05
ANKRD39,2.92082851800476e-05
ANKRD40,0.0001272448190104
ANKRD42-DT,8.77586677307562e-05
ANKRD44,9.80852862488841e-05
ANKRD45,1.64531347571208e-05
ANKRD46,9.25413640672515e-05
ANKRD49,6.72422603026877e-05
ANKRD50,9.31869267904247e-05
ANKRD52,5.96701110789797e-05
ANKRD53,3.35689809598219e-05
ANKRD54,7.1654970142621e-05
ANKRD55,1.17825419248169e-05
ANKRD6,6.01705342019117e-05
ANKRD65,0.0001090629576933
ANKRD7,2.95771212551838e-05
ANKRD9,0.0001199671311489
ANKS1A,0.0001136080086043
ANKS1B,0.0001790404844572
ANKS3,3.10561633776667e-05
ANKS6,6.90230502824297e-05
ANKUB1,3.14752600751496e-05
ANKZF1,6.42375094429741e-05
ANLN,0.0001551629117548
ANO1,2.43837863722004e-05
ANO10,0.0001199810303407
ANO2,2.33091046313202e-05
ANO3,7.38009877849592e-05
ANO4,7.35433661937752e-05
ANO5,9.0127614640916e-05
ANO6,0.0001236061482836
ANO7,3.73584572952942e-05
ANO8,7.54266964359471e-05
ANO9,3.99950501361992e-05
ANOS1,0.0001037059150653
ANP32A,0.0001384901662079
ANP32B,0.0001774187793053
ANP32D,1.96666897620645e-05
ANP32E,0.0001480487132303
ANPEP,2.36529727034089e-05
ANTKMT,5.99593573717793e-05
ANTXR1,8.88627703827004e-05
ANTXR2,8.03206707452849e-05
ANXA1,5.41719048690886e-05
ANXA10,1.31665784137879e-05
ANXA11,0.0001214714165514
ANXA13,1.2794184873336e-05
ANXA2,0.0001238583331884
ANXA2R-AS1,3.40553754703588e-05
ANXA2R-OT1,5.90086869710634e-05
ANXA3,8.08876437378474e-06
ANXA4,0.0001213827082803
ANXA5,9.51558601934638e-05
ANXA6,6.10790725551199e-05
ANXA7,0.000149542417554
ANXA8,5.74677160529511e-05
ANXA9,6.66631393556568e-05
AOAH,5.77175400083939e-05
AOC1,1.59989486949465e-05
AOC2,2.40422370627065e-05
AOC3,6.97206218951703e-05
AOPEP,8.15818160128884e-05
AOX1,7.39915908995958e-05
AP1AR,9.21611742759133e-05
AP1B1,5.41080768486877e-05
AP1G1,0.0001492876920134
AP1G2,0.000120469530217
AP1G2-AS1,7.93621676750405e-05
AP1M1,7.79216352149512e-05
AP1M2,3.24602179779346e-05
AP1S1,0.0001150815241417
AP1S2,0.0001486304097424
AP1S3,7.75062291828821e-05
AP2A1,0.0001043878447379
AP2A2,7.74791823496537e-05
AP2B1,0.0001255215084984
AP2M1,0.0001113278924863
AP2S1,6.45454979250356e-05
AP3B1,9.30609714644955e-05
AP3B2,7.40541993530844e-05
AP3D1,0.0001102754420501
AP3M1,6.58166983997241e-05
AP3M2,7.00976375694399e-05
AP3S1,0.0001418350412831
AP3S2,0.0001093052308508
AP4B1,4.61064872246618e-05
AP4E1,0.0001026389743631
AP4M1,3.74890760133509e-05
AP4S1,9.79820703672378e-05
AP5B1,3.10612645893898e-05
AP5M1,0.0001140082827666
AP5S1,7.04369893414606e-05
AP5Z1,0.0001100047768621
APAF1,8.76490700148421e-05
APBA1,0.0001411716206491
APBA2,0.0001197404968057
APBA3,6.35047690084247e-05
APBB1,4.91641794830219e-05
APBB1IP,0.0001017108839313
APBB2,0.00013956162299
APBB3,3.23736337422144e-05
