"geneID","MeanWeight"
"ABCF1",4.18849585745444
"ABCF2",2.57894996740909
"ABCF2-H2BK1",4.64877865636531
"ABCF3",2.44545455295273
"ABCG1",5.80377128340544
"ABCG2",3.51637544888151
"ABCG4",1.33109333751928
"ABCG5",0.86865883318042
"ABCG8",0.697499892585546
"ABHD1",1.7166359444162
"ABHD10",5.84377956407422
"ABHD11",3.2548333442759
"ABHD12",3.88361006389408
"ABHD12B",2.18883473120301
"ABHD13",2.70248569122894
"ABHD14A",2.04636840957309
"ABHD14B",1.55911829258298
"ABHD15",0.5551389391122
"ABHD16A",3.06648188732061
"ABHD16B",1.16341114177662
"ABHD17A",0.962099309660651
"ABHD17B",5.13378994131626
"ABHD17C",2.75066244677226
"ABHD18",5.23367715742317
"ABHD2",6.8800557262635
"ABHD3",1.99900314525859
"ABHD4",2.05730572616939
"ABHD5",4.24474042282458
"ABHD6",5.95764132542017
"ABHD8",1.37328843366297
"ABI1",6.43251266013526
"ABI2",8.47999833046956
"ABI3",2.40680046493742
"ABI3BP",2.31677435395999
"ABITRAM",3.9783976141622
"ABL1",3.15558376476947
"ABL2",5.31285942409725
"ABLIM1",6.40115149687655
"ABLIM2",4.29656619793727
"ABLIM3",5.47192117439911
"ABO",4.28934861382554
"ABR",4.93250917603878
"ABRA",1.33582048381324
"ABRACL",3.63677532388589
"ABRAXAS1",5.51296731528649
"ABRAXAS2",3.95241610860213
"ABT1",1.38707575549429
"ABTB1",3.37608354544617
"ABTB2",3.01505035555586
"ABTB3",2.87028447359291
"ACAA1",4.65559024571398
"ACAA2",4.0787521794785
"ACACA",4.46991677053753
"ACACB",7.9892083615121
"ACAD10",2.97694584693201
"ACAD11",5.4945777900595
"ACAD8",2.8340697217102
"ACAD9",2.94847355829014
"ACADL",1.5723429391895
"ACADM",2.78396258676994
"ACADS",2.60184809676484
"ACADSB",3.12535653079742
"ACADVL",2.78184916473574
"ACAN",3.25953033662019
"ACAP1",3.31647988805445
"ACAP2",6.38893743555227
"ACAP3",2.10834280930769
"ACAT1",5.10923305913779
"ACAT2",3.38632201450269
"ACBD3",5.52678560694758
"ACBD4",2.65645280358427
"ACBD5",6.20557434816283
"ACBD6",3.0589606953989
"ACCS",3.26959569346791
"ACD",1.63773681010289
"ACE",1.77363197992575
"ACE2",1.09544097808985
"ACER1",1.5486574449907
"ACER2",1.69363105267503
"ACER3",6.64054866855249
"ACHE",2.69935858481742
"ACIN1",2.74514632920396
"ACKR1",2.12854116813826
"ACKR2",2.42245173200022
"ACKR3",3.54524694316582
"ACKR4",2.26287295766748
"ACLY",6.61802181077624
"ACMSD",0.771361842919235
"ACO1",2.74935917266834
"ACO2",1.96659282132405
"ACOD1",0.74299059330707
"ACOT11",3.66924376704554
"ACOT12",0.939310893568657
"ACOT13",3.78360900165198
"ACOT2",1.24282533895424
"ACOT4",1.45768103445427
"ACOT6",0.846209699019816
"ACOT7",4.80119373463622
"ACOT8",2.92496657284527
"ACOT9",1.6844706887225
"ACOX1",5.83430594188843
"ACOX2",0.495284645033373
"ACOX3",4.07974882710061
"ACOXL",1.61821194988104
"ACP1",5.51767218080467
"ACP2",1.04965790611661
"ACP3",1.33926173947179
"ACP4",2.96335517495746
"ACP5",1.57208230434573
"ACP6",3.05403707970139
"ACR",1.26899074231093
"ACRBP",2.81927415987315
"ACRV1",2.2945300779114
"ACSBG1",3.7838359977486
"ACSBG2",1.16653014200437
"ACSF2",2.72149734239508
"ACSF3",3.38205973648701
"ACSL1",3.95111801516519
"ACSL3",6.53124547804988
"ACSL4",4.69693845369303
"ACSL5",2.65606475475136
"ACSL6",5.87341053919131
"ACSM1",1.29878115473446
"ACSM2A",1.4369910725637
"ACSM2B",0.488546115737727
"ACSM3",1.03830840164979
"ACSM5",2.16207883509588
"ACSS1",4.07222614546669
"ACSS2",2.43889576966789
"ACSS3",2.03515327214185
"ACTA1",0.716662691154136
"ACTA2",5.80323953143539
"ACTA2-AS1",2.10985682180473
"ACTB",10.6537238211867
"ACTC1",0.736647551938433
"ACTG1",8.91903110388002
"ACTG1P17",1.06629497741105
"ACTG1P25",1.31678189776429
"ACTG2",1.24175813985984
"ACTL10",1.95819206221202
"ACTL6A",0.987247736947905
"ACTL6B",4.76922275004344
"ACTL7A",0.714978428149212
"ACTL7B",0.648123869318092
"ACTL8",1.81977820901603
"ACTL9",0.516124380384788
"ACTMAP",1.32743904610035
"ACTN1",5.15604985904267
"ACTN2",4.98725327214781
"ACTN3",0.514663554772494
"ACTN4",2.88513575462686
"ACTR10",6.35365692218896
"ACTR1A",4.85752151897244
"ACTR1B",2.8945636980304
"ACTR2",8.03837170153212
"ACTR3",6.84900599344172
"ACTR3-AS1",0.962551299302901
"ACTR3B",4.92037640249001
"ACTR3BP2",0.672721847706496
"ACTR3BP5",1.21640718259264
"ACTR3BP6",0.963646526230718
"ACTR3C",5.29975024716704
"ACTR5",2.32721425662266
"ACTR6",3.12764992816248
"ACTR8",3.11189506736106
"ACTRT2",1.23197622600121
"ACTRT3",0.724653490612222
"ACVR1",1.82064853046014
"ACVR1B",6.59187101079466
"ACVR1C",3.97884406422292
"ACVR2A",7.09135659418404
"ACVR2B",5.02926738082902
"ACVR2B-AS1",3.97956868300414
"ACVRL1",3.63000550843461
"ACY1",2.03407427253132
"ACY3",1.72943827120338
"ACYP1",4.63518832317957
"ACYP2",6.01203320676598
"ADA",2.11458225304063
"ADA2",2.33457299240515
"ADAD1",1.39310406907637
"ADAD2",2.17933379300645
"ADAM10",6.98674487024282
"ADAM11",3.56242662511604
"ADAM12",3.25977535105012
