14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
NSUN4	CASP4	CTNNA2		SNORA21				GS1-24F4.2	NFYC-AS1
RBBP8	MAPKAPK5-AS1	STK39		ZNF234				LSM6	HDAC2
GPR82	PPP1R13B	UBL3		PANK3				UBR4	ARHGEF18
CCDC177	FAM111A-DT	MAP2		CARD8				PDXP	MAIP1
HTATSF1	NDUFV2-AS1	PIN4		RC3H1				SREK1IP1	ASCC3
CXorf58	LOC101927495	DAPK1		ANKRD37				FCRLB	GTF3A
ZNF134	HMOX1	REEP5		NPEPPSP1				C2orf69	ZNF177
BLID	NDUFB2-AS1	NUDT11		SPART				PDZRN4	MDC1
DDX55	HCN3	NDN		SLC16A4				GATD3	LRP8
LINC01366	LINC02415	GPR26		RPUSD3				B3GALNT1	SMCHD1
OLR1	ZC3H12A	BOLA3		S100A12				CCDC160	ARHGAP21
JAKMIP2-AS1	TKT	GRIA1		SUGT1				CELF6	KLHDC10
LRRC10B	ZC2HC1C	DNM3		MTHFD2L				GSTM5	RBM5
CILP	RGS9	IPCEF1		NAALAD2				ERCC1	ZNF70
CCDC14	EVC2	F8A1		GPR4				OR1D4	SLC25A18
TRAK2	CHAC1	KCTD16		GPR75				SPATA19	NIP7
DOCK5	ATP13A5	DNAJC6		PRMT9				PPWD1	PAN3-AS1
WFIKKN2	ERVH48-1	DIAPH2		LOC101928663				MACROD1	SNX4
PCYOX1L	TLR5	NDUFAB1		R3HDM2				LOC105375547	RPL27
IGKV1D-8	NCAPH	MRPL3		ZNF615				CYC1	FKBP5
NECTIN3-AS1	OR8D2	TBCA		LINC02381				LOC105374768	NCBP1
HOMER1	JDP2	PDP1		ACADM				ATP6V0A4	SLC38A11
LINC03013	C10orf126	MZT1		MUS81				PARN	DNPEP
PRPF40A	RARA-AS1	NUP93		LCOR				GSTT1	FOXO3B
AARS2	WARS2	RUSC1		AQP4-AS1				RNF41	BTAF1
TET1	CLMAT3	NAP1L5		ZNF611				DCUN1D4	NPTN-IT1
RAB40B	MANF	DROSHA		TRHDE-AS1				H2AP	PGAP3
ELP2	SPIC	MDH1		ZNF184				LMX1A	FAM218A
	SLC7A1	RALGAPA1		CRTC3				BIK	SON
	SLC35G5	NAA25		E2F6				TRAF5	RUFY2
	ZP4	UNC5C-AS1		LINC00665				ISL1	STARD7
	GPRC5D	GGNBP2		LCE1E				FCGR2B	LPIN1
